name,Australia,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,reported_date,scrape_dt
Locally acquired last 24 hours,1,0,0,0,0,1,0,0,0,2021-03-12,2021-03-12T23:15:49Z
Overseas acquired last 24 hours,10,0,8,0,2,0,0,0,0,2021-03-12,2021-03-12T23:15:49Z
Active cases,117,5,56,0,41,4,0,3,8,2021-03-12,2021-03-12T23:15:49Z
Total cases,29102,123,5234,105,1375,626,234,20483,922,2021-03-12,2021-03-12T23:15:49Z
Total deaths,909,3,54,0,6,4,13,820,9,2021-03-12,2021-03-12T23:15:49Z
Overseas,6738,94,3057,101,1068,438,85,1073,822,2021-03-12,2021-03-12T23:15:49Z
Locally acquired - contact of confirmed case,17932,25,1641,2,243,152,141,15648,80,2021-03-12,2021-03-12T23:15:49Z
Locally acquired - unknown contact,4277,1,446,0,41,9,5,3762,13,2021-03-12,2021-03-12T23:15:49Z
Locally acquired - interstate travel,154,3,90,2,23,26,3,0,7,2021-03-12,2021-03-12T23:15:49Z
Under investigation,1,0,0,0,0,1,0,0,0,2021-03-12,2021-03-12T23:15:49Z
Tests in last 7 days,271641,3469,78957,5271,42247,19005,3787,100162,18743,2021-03-12,2021-03-12T23:15:49Z
"Tests in last 7 days per 100,000 population",1071,814,977,2142,830,1085,708,1519,715,2021-03-12,2021-03-12T23:15:49Z
Total tests conducted,14834911,178346,5154150,134277,2027655,1122985,180617,5138905,897976,2021-03-12,2021-03-12T23:15:49Z
Total positive tests (%),0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,2021-03-12,2021-03-12T23:15:49Z
